NAME;COUNTRY;LAT;LON;COST
ASHBURN;NA;39.043719;-77.48749;0.16
ATLANTA;NA;33.749099;-84.390185;0.16
BOSTON;NA;42.360253;-71.058291;0.16
CHICAGO;NA;41.875555;-87.624421;0.16
DALLAS;NA;32.776272;-96.796856;0.16
DENVER;NA;39.739154;-104.984703;0.16
HAYWARD;NA;37.668821;-122.080796;0.16
JACKSONVILLE;NA;30.332184;-81.655651;0.16
LOS ANGELES;NA;34.054935;-118.244476;0.16
MIAMI;NA;25.774266;-80.193659;0.16
MINNEAPOLIS;NA;44.9773;-93.265469;0.16
MONTREAL;NA;45.497216;-73.610364;0.16
NEW YORK;NA;40.730646;-73.986614;0.16
NEWARK;NA;40.735657;-74.172367;0.16
PALO ALTO;NA;37.445586;-122.161929;0.16
PHOENIX;NA;33.448587;-112.077346;0.16
PHILADELPHIA;NA;39.952399;-75.16359;0.16
SEATTLE;NA;47.603832;-122.330062;0.16
SOUTH BEND;NA;41.683381;-86.250007;0.16
TORONTO;NA;43.653963;-79.387207;0.16
CAPETOWN;NA;40.466242;-124.367277;0.16
RIO DE JANEIRO;SA;-22.9110137;-42.419415;0.24
SAN PAOLO;SA;-23.5506507;-46.6333824;0.24
AMSTERDAM;EU;52.37454;4.897976;0.17
BERLIN;EU;52.517037;13.38886;0.17
DUBLIN;EU;53.349765;-6.260273;0.17
FRANKFURT;EU;50.110644;8.682092;0.17
HELSINKI;EU;60.167409;24.942568;0.17
LONDON;EU;51.507322;-0.127647;0.17
MADRID;EU;40.416705;-3.703582;0.17
MANCHESTER;EU;53.47913;-2.244101;0.17
MARSEILLE;EU;43.296174;5.369953;0.17
MILAN;EU;45.466797;9.190498;0.17
MONACO;EU;43.731142;7.419758;0.17
PALERMO;EU;38.111227;13.352443;0.17
PARIS;EU;48.85661;2.351499;0.17
PRAGUE;EU;50.087465;14.421254;0.17
STOCKHOLM;EU;59.325117;18.071094;0.17
VIENNA;EU;48.208354;16.372504;0.17
VARSAVIA;EU;52.231924;21.006727;0.17
ZURICH;EU;47.372396;8.542322;0.17
SAINT LOUIS;AF;16.187637;-15.295431;0.25
JOHANNESBURG;AF;-26.205;28.049722;0.25
BANGALORE;AS;12.97912;77.5913;0.32
CHENNAI;AS;13.080172;80.283833;0.32
HONG KONG;AS;22.350627;114.184916;0.32
KUALA LUMPUR;AS;3.154687;101.713636;0.32
MANILA;AS;14.590622;120.97997;0.32
SAN JOSE;AS;13.874392;121.090756;0.16
MUMBAI;AS;18.938754;72.835238;0.32
NEW DELHI;AS;28.614179;77.202266;0.32
OSAKA;AS;34.704365;135.501887;0.32
SEOUL;AS;37.566679;126.978291;0.32
SINGAPORE;AS;1.290475;103.852036;0.32
TAI PEI;AS;25.0375198;121.5636796;0.32
TOKYO;AS;34.696864;139.404903;0.32
MELBOURNE;OC;-37.814218;144.963161;0.35
PERTH;OC;-31.952712;115.86048;0.35
SYDNEY;OC;-33.854816;151.216454;0.35
