city;lat;lng;continent
Malishevë;42.4822;20.7458;EU
Prizren;42.2139;20.7397;EU
Zubin Potok;42.9144;20.6897;EU
Kamenicë;42.5781;21.5803;EU
Viti;42.3214;21.3583;EU
Shtërpcë;42.2394;21.0272;EU
Shtime;42.4331;21.0397;EU
Vushtrri;42.8231;20.9675;EU
Dragash;42.0265;20.6533;EU
Podujevë;42.9111;21.1899;EU
Fushë Kosovë;42.6639;21.0961;EU
Kaçanik;42.2319;21.2594;EU
Klinë;42.6217;20.5778;EU
Leposaviq;43.1039;20.8028;EU
Pejë;42.66;20.2922;EU
Rahovec;42.3994;20.6547;EU
Gjilan;42.4689;21.4633;EU
Lipjan;42.5217;21.1258;EU
Obiliq;42.6869;21.0703;EU
Gjakovë;42.3803;20.4308;EU
Pristina;42.6666;21.1724;EU
Deçan;42.5378;20.2911;EU
Istog;42.7808;20.4875;EU
Hani i Elezit;42.15;21.2967;EU
Junik;42.4758;20.2772;EU
Kllokot;42.3714;21.3744;EU
Mamushë;42.3308;20.7269;EU
Partesh;42.4019;21.4336;EU
Ranillug;42.4922;21.5989;EU
Ferizaj;42.3706;21.1553;EU
Zveçan;42.9075;20.8403;EU
Suharekë;42.3586;20.825;EU
Gllogovc;42.6283;20.8939;EU
Mitrovicë;42.8833;20.8667;EU
Skenderaj;42.7467;20.7886;EU
Novobërdë;42.6178;21.4197;EU
Graçanicë;42.6011;21.1958;EU
Longyearbyen;78.2167;15.6333;EU
Al Quds;31.7764;35.2269;AS
Sanaa;15.3547;44.2066;AS
Marib;15.421;45.334;AS
Al Jabīn;14.704;43.599;AS
Hajjah;15.6917;43.6021;AS
Ibb;13.9759;44.1709;AS
Al Hudaydah;14.7979;42.953;AS
Lahij;13.0582;44.8838;AS
Al Maḩwīt;15.4701;43.5448;AS
Taizz;13.6045;44.0394;AS
Sadah;16.9398;43.8498;AS
Dhamar;14.5575;44.3875;AS
‘Amrān;15.6594;43.9439;AS
Aḑ Ḑāli‘;13.6957;44.7314;AS
Saywun;15.943;48.7873;AS
Al Bayda;13.979;45.574;AS
Zinjibār;13.1287;45.3807;AS
Rida;14.4295;44.8341;AS
'Ataq;14.55;46.8;AS
Al Ghaydah;16.2394;52.1638;AS
Sayhut;15.2105;51.2454;AS
Al Mukalla;14.5412;49.1259;AS
Al Ḩazm;16.1641;44.7769;AS
Zabīd;14.1951;43.3155;AS
Aden;12.7797;45.0095;AS
Hadiboh;12.6519;54.0239;AS
Ash Shihr;14.7593;49.6092;AS
Dzaoudzi;-12.7871;45.275;AF
Lebowakgomo;-24.1996;29.5;AF
Potchefstroom;-26.6996;27.1;AF
Graaff Reinet;-32.3;24.54;AF
Rustenburg;-25.65;27.24;AF
Brandfort;-28.6996;26.47;AF
Vryheid;-27.76;30.79;AF
Vereeniging;-26.6496;27.96;AF
Brits;-25.6296;27.78;AF
Bethlehem;-28.2196;28.3;AF
Ubomba;-27.5661;32.0833;AF
Polokwane;-23.89;29.45;AF
Springbok;-29.6667;17.8833;AF
Thohoyandou;-22.95;30.48;AF
