NAME;ALT_NAME;COUNTRY;LAT;LON;ELEV;UTC
RED LAKE;RED LAKE;CANADA;51.06667;-93.8;1230;-6
GUAM INTL AP;GUAM NWSO TIYAN;GUAM;13.48333;144.8;254;10
SAIPAN INTL AP;SAIPAN INTL AP;NORTHE;15.11667;145.71667;215;10
SAN JUAN L M MARIN AP;SAN JUAN INTL AP;PUERTO;18.4325;-66.01083;9;-4
ANCHORAGE INTL AP;ANCHORAGE INTL AP;UNITED;61.169;-150.0278;120;-9
ANCHORAGE MERRILL FLD;ANCHORAGE MERRILL FLD;UNITED;61.21694;-149.855;138;-9
ANNETTE ISLAND AP;ANNETTE WSO AP;UNITED;55.0389;-131.5787;109;-9
BARROW POST ROGERS AP;BARROW WSO AP;UNITED;71.2834;-156.7815;31;-9
BETHEL AP;BETHEL AP;UNITED;60.785;-161.8293;102;-9
BETTLES AP;BETTLES AP;UNITED;66.54;-151.31;643;-9
BIG DELTA AP;BIG DELTA FAA/ASOS AP;UNITED;63.9944;-145.7214;1277;-9
COLD BAY AP;COLD BAY AP;UNITED;55.22083;-162.7325;78;-9
CORDOVA M K SMITH AP;CORDOVA AP;UNITED;60.4888;-145.4511;31;-9
DEADHORSE AP;DEADHORSE;UNITED;70.1917;-148.4772;61;-9
DEERING AP;DEERING AP;UNITED;66.06889;-162.76389;-99999;-9
EAGLE AP;EAGLE AP;UNITED;64.77667;-141.14833;-99999;-9
FAIRBANKS INTL AP;FAIRBANKS INTL AP;UNITED;64.8039;-147.8761;432;-9
GULKANA AP;GULKANA AP;UNITED;62.1591;-145.4588;1562;-9
HAINES AP;HAINES AP;UNITED;59.24333;-135.50944;15;-9
HOMER AP;HOMER AP;UNITED;59.642;-151.4908;64;-9
ILIAMNA AP;ILIAMNA AP;UNITED;59.7494;-154.9089;143;-9
JUNEAU INTL AP;JUNEAU AP;UNITED;58.3566;-134.564;16;-9
KALTAG AP;KALTAG AP;UNITED;64.32667;-158.74167;-99999;-9
KENAI MUNI AP;KENAI AP;UNITED;60.5797;-151.2391;91;-9
KETCHIKAN INTL AP;KETCHIKAN;UNITED;55.35667;-131.71167;76;-9
KING SALMON AP;KING SALMON AP;UNITED;58.6829;-156.6563;67;-9
KIVALINA AP;KIVALINA AP;UNITED;67.73167;-164.54833;-99999;-9
KLAWOCK AP;KLAWOCK AP;UNITED;55.58;-133.075;12;-9
KODIAK AP;KODIAK AP;UNITED;57.75111;-152.48556;80;-9
KOTZEBUE RALPH WEIN AP;KOTZEBUE WSO AP;UNITED;66.86667;-162.63333;30;-9
MCGRATH AP;MCGRATH AP;UNITED;62.9574;-155.6103;333;-9
NENANA MUNI AP;NENANA MUNI AP;UNITED;64.55;-149.07167;360;-9
NOME MUNI AP;NOME WSO AP;UNITED;64.5111;-165.44;13;-9
NORTHWAY AP;NORTHWAY AP;UNITED;62.9617;-141.9378;1713;-9
NUIQSUT AP;NUIQSUT AP;UNITED;70.21167;-151.00167;-99999;-9
PALMER MUNI AP;PALMER AP;UNITED;61.5961;-149.0916;230;-9
PORTAGE GLACIER V C;PORTAGE GLACIER V C;UNITED;60.785;-148.83889;103;-9
SELDOVIA AP;SELDOVIA AP;UNITED;59.44333;-151.70167;-99999;-9
SEWARD AP;SEWARD AP;UNITED;60.12833;-149.41667;-99999;-9
SITKA AIRPORT;SITKA AIRPORT;UNITED;57.04806;-135.36472;14;-9
SKAGWAY AP;SKAGWAY AP;UNITED;59.45556;-135.32389;20;-9
ST GEORGE ISLAND AP;ST GEORGE ISLAND AP;UNITED;56.6;-169.565;-99999;-9
ST PAUL ISLAND AP;ST PAUL ISLAND AP;UNITED;57.15528;-170.22222;35;-9
TALKEETNA AP;TALKEETNA AP;UNITED;62.32;-150.095;350;-9
TANANA CALHOUN MEM AP;TANANA AP;UNITED;65.175;-152.1067;222;-9
WAINWRIGHT AP;WAINWRIGHT AP;UNITED;70.63917;-159.995;-99999;-9
YAKUTAT STATE AP;YAKUTAT AP;UNITED;59.512;-139.6712;33;-9
ALABASTER SHELBY CO AP;ALABASTER SHELBY CO AP;UNITED;33.17833;-86.78167;565;-6
ANDALUSIA OPP AP;ANDALUSIA OPP AP;UNITED;31.30889;-86.39389;-99999;-6
ANNISTON METRO AP;ANNISTON ARPT ASOS;UNITED;33.5872;-85.8556;594;-6
BIRMINGHAM AP;BIRMINGHAM AP ASOS;UNITED;33.56556;-86.745;615;-6
DECATUR PRYOR FLD;DECATUR PRYOR FLD;UNITED;34.6525;-86.94528;-99999;-6
DOTHAN RGNL AP;DOTHAN FAA AIRPORT;UNITED;31.3167;-85.45;374;-6
EVERGREEN MIDDLETON FLD;EVERGREEN MIDDLETON FLD;UNITED;31.41556;-87.04417;-99999;-6
FLORALA MUNI AP;FLORALA MUNI AP;UNITED;31.0425;-86.31167;-99999;-6
FT RUCKER LOWE ARMY HELIPORT;FT RUCKER LOWE ARMY HELIPORT;UNITED;31.35583;-85.75111;244;-6
GREENVILLE CRENSHAW AP;GREENVILLE CRENSHAW AP;UNITED;31.84556;-86.61083;-99999;-6
HUNTSVILLE INTL AP;HUNTSVILLE INTL AP;UNITED;34.64389;-86.78611;624;-6
MOBILE DWTN AP;MOBILE DWTN AP;UNITED;30.62639;-88.06806;-99999;-6
MOBILE RGNL AP;MOBILE REGIONAL AP;UNITED;30.68833;-88.24556;215;-6
MONTGOMERY AP;MONTGOMERY AP ASOS;UNITED;32.2997;-86.4075;202;-6
MUSCLE SHOALS RGNL AP;MUSCLE SHOALS AP;UNITED;34.7441;-87.5997;540;-6
OZARK FT RUCKER;OZARK FT RUCKER;UNITED;31.35;-85.66667;-99999;-6
TROY MUNI AP;TROY MUNI AP;UNITED;31.86056;-86.01222;-99999;-6
TUSCALOOSA MUNI AP;TUSCALOOSA ARPT ASOS;UNITED;33.2119;-87.6161;150;-6
WEEDON FLD AP;WEEDON FLD AP;UNITED;31.95139;-85.12889;-99999;-6
BLYTHEVILLE MUNI AP;BLYTHEVILLE MUNI AP;UNITED;35.94028;-89.83083;-99999;-6
DE QUEEN SEVIER CO AP;DE QUEEN SEVIER CO AP;UNITED;34.05;-94.40083;355;-6
EL DORADO S AR RGNL AP;EL DORADO GOODWIN FLD;UNITED;33.22083;-92.81417;252;-6
FAYETTEVILLE DRAKE FLD;FAYETTEVILLE DRAKE FLD;UNITED;36.0097;-94.1694;1251;-6
FAYETTEVILLE NW AR AP;FAYETTEVILLE NW AR AP;UNITED;36.28333;-94.3;1287;-6
