city;lat;lng;country;iso2;iso3
Malishevë;42.4822;20.7458;Kosovo;EU;XKS
Prizren;42.2139;20.7397;Kosovo;EU;XKS
Zubin Potok;42.9144;20.6897;Kosovo;EU;XKS
Kamenicë;42.5781;21.5803;Kosovo;EU;XKS
Viti;42.3214;21.3583;Kosovo;EU;XKS
Shtërpcë;42.2394;21.0272;Kosovo;EU;XKS
Shtime;42.4331;21.0397;Kosovo;EU;XKS
Vushtrri;42.8231;20.9675;Kosovo;EU;XKS
Dragash;42.0265;20.6533;Kosovo;EU;XKS
Podujevë;42.9111;21.1899;Kosovo;EU;XKS
Fushë Kosovë;42.6639;21.0961;Kosovo;EU;XKS
Kaçanik;42.2319;21.2594;Kosovo;EU;XKS
Klinë;42.6217;20.5778;Kosovo;EU;XKS
Leposaviq;43.1039;20.8028;Kosovo;EU;XKS
Pejë;42.66;20.2922;Kosovo;EU;XKS
Rahovec;42.3994;20.6547;Kosovo;EU;XKS
Gjilan;42.4689;21.4633;Kosovo;EU;XKS
Lipjan;42.5217;21.1258;Kosovo;EU;XKS
Obiliq;42.6869;21.0703;Kosovo;EU;XKS
Gjakovë;42.3803;20.4308;Kosovo;EU;XKS
Pristina;42.6666;21.1724;Kosovo;EU;XKS
Deçan;42.5378;20.2911;Kosovo;EU;XKS
Istog;42.7808;20.4875;Kosovo;EU;XKS
Hani i Elezit;42.15;21.2967;Kosovo;EU;XKS
Junik;42.4758;20.2772;Kosovo;EU;XKS
Kllokot;42.3714;21.3744;Kosovo;EU;XKS
Mamushë;42.3308;20.7269;Kosovo;EU;XKS
Partesh;42.4019;21.4336;Kosovo;EU;XKS
Ranillug;42.4922;21.5989;Kosovo;EU;XKS
Ferizaj;42.3706;21.1553;Kosovo;EU;XKS
Zveçan;42.9075;20.8403;Kosovo;EU;XKS
Suharekë;42.3586;20.825;Kosovo;EU;XKS
Gllogovc;42.6283;20.8939;Kosovo;EU;XKS
Mitrovicë;42.8833;20.8667;Kosovo;EU;XKS
Skenderaj;42.7467;20.7886;Kosovo;EU;XKS
Novobërdë;42.6178;21.4197;Kosovo;EU;XKS
Graçanicë;42.6011;21.1958;Kosovo;EU;XKS
